Name,Width,Height,Area,#Layers,#Nets,#Pads,Net density,Pad density
kitspace_ChaosLooper,136.500005,67.200006,9172.80115500003,2,26,72,0.001417233381639,0.003924646287615
kitspace_CocoMixtape_UGM_Kicad,86.800175,45.505682,3949.90116109435,2,14,78,0.001772196243528,0.009873664785373
kitspace_Control%20Board,166,187,31042,2,82,317,0.001320791186135,0.005105985439083
kitspace_DIY_detector,75,26,1950,2,12,61,0.003076923076923,0.015641025641026
kitspace_Driverino-Shield,68.58,53.34,3658.0572,2,47,177,0.006424175105846,0.024193170079462
kitspace_EEZ%20DIB%20MCU%20r1B2,217.9011,147.3036,32097.61647396,4,233,871,0.001814776497416,0.006783992829395
kitspace_ESP8266-PowerMonitor,69.5,27.2,1890.4,2,17,64,0.004496402877698,0.016927634363098
kitspace_ESPTINY86_Mixtape_version2,99.06,64.77,6416.1162,2,35,113,0.002727506711926,0.008805950241363
kitspace_GPSMux,24,30,720,2,19,55,0.013194444444445,0.038194444444445
kitspace_Heltec_Node,71,97,6887,2,16,53,0.001161608828227,0.003847829243502
kitspace_LED%20Zappelin,125,75,9375,2,34,152,0.001813333333333,0.008106666666667
kitspace_Lcr_addon,85.09,55.118,4689.99062,2,20,70,0.002132200426448,0.007462701492567
kitspace_Mixtape_Barebone,33.02,17.78,587.0956,2,12,46,0.010219800659382,0.039175902527629
kitspace_OpenSpritzer_1.3,57.5,85,4887.5,2,18,67,0.001841432225064,0.006854219948849
kitspace_OtterCastAmp,96,100.3,9628.8,4,203,999,0.005270646394151,0.025937811565304
kitspace_OtterPillG,43.8,18.2,797.16,2,44,153,0.027597972803452,0.095965678157459
kitspace_OtterScreen,48.2000000000006,34.8000000000003,1677.36000000003,2,31,154,0.00924071159441,0.045905470501263
kitspace_OutlineChaos,136.500005,67.200006,9172.80115500003,2,27,74,0.001471742357856,0.004033664240049
kitspace_PCBs,45.19,53.89,2435.2891,2,23,85,0.004722231951845,0.017451726778558
kitspace_PIS,29.21,51.43011,1502.2735131,2,19,70,0.00632374858317,0.02329802109589
kitspace_PSLab,72.9,53.6,3907.44,4,114,453,0.007293778023463,0.028983170566919
kitspace_PWR,29.21,55.88,1632.2548,2,16,46,0.004901195573142,0.014090937272784
kitspace_Potentiometer_mount_16LED,97.5,41.5,4046.25,2,32,64,0.003954278653074,0.007908557306148
kitspace_Potentiometer_mount_24LED,143.61,36.51,5243.2011,2,48,96,0.004577356378721,0.009154712757441
kitspace_Potentiometer_mount_4LED,40,30,1200,2,8,16,0.003333333333333,0.006666666666667
kitspace_Potentiometer_mount_8LED,80,40,3200,2,8,16,0.00125,0.0025
kitspace_RPi_shield,64.008,56.134,3593.025072,2,6,28,0.000834951034263,0.003896438159895
kitspace_T32_ref,71.12,25.4,1806.448,4,66,203,0.009133946839322,0.028093806187612
kitspace_TuneShroom,78.74,96.52,7599.9848,2,41,114,0.0026973738158,0.00750001500003
kitspace_USB-C-Screen-Adapter,44.000004,24.800002,1091.20018720001,4,51,250,0.011684382159717,0.057276383135869
kitspace_USB-C-Screen-Adapter-LDR6023SS,38,41.35,1571.3,2,36,174,0.011455482721314,0.055368166486349
kitspace_USB-LED-Otter,12.6,15.6,196.56,2,10,49,0.025437525437526,0.124643874643875
kitspace_USBee32-S2,31.1403970587436,71.258957,2219.03221497194,4,59,218,0.006647041850263,0.02456025632809
kitspace_XassetteAsterisk,62,62,3844,2,151,594,0.019640998959417,0.077263267429761
kitspace__autosave-nunchuk_breakout,43,22,946,2,6,29,0.003171247357294,0.015327695560254
kitspace__autosave-postcard,110,110,12100,2,11,48,0.000454545454545,0.00198347107438
kitspace_antenna_analyser,100,50,5000,2,31,103,0.0031,0.0103
kitspace_aquarius,88,134,11792,2,63,234,0.002671302578019,0.009921981004071
kitspace_ardfpga,69.0372,53.7972,3714.00805584,2,84,298,0.011308537668344,0.040118383632935
kitspace_bbq10breakout,19.05,24.13,459.6765,2,15,45,0.016315822105329,0.048947466315985
kitspace_bomanz,65.024,30.0355,1953.028352,2,20,102,0.005120253369471,0.026113292184301
kitspace_cseduinov4,48.26,50.8,2451.608,2,30,89,0.006118433289498,0.018151352092178
kitspace_d20_r0.1,39.749999,31.499998,1252.124889,4,96,388,0.019167417093009,0.077468310750909
kitspace_dropbot-front-panel,108,68.75,7425,4,139,344,0.004680134680135,0.011582491582492
kitspace_dropbot_control_board,115,92,10580,4,94,401,0.002221172022684,0.009475425330813
kitspace_dynamixel_shield,68.58,53.34,3658.0572,2,18,88,0.002460322380962,0.012028242751371
kitspace_esp8266,50,50,2500,2,10,63,0.002,0.0126
kitspace_esp8266-12-breakout,32.395,39.37,1275.39115,2,19,60,0.007448695249297,0.023522195524095
kitspace_esptiny86_Stompbox,54.751124,106.397464,5825.38074474954,2,30,97,0.002574938988069,0.008325636061422
kitspace_f-91w,30.48,25.4,774.192,2,52,150,0.033583400500134,0.096875193750388
kitspace_fast_diode_pcb,48.895,29.21,1428.22295,2,4,23,0.001400341592326,0.008051964155876
kitspace_filaSens,54,22,1188,2,11,49,0.00462962962963,0.020622895622896
kitspace_firefly,89.000002,74.500001,6630.500238,4,53,285,0.001998340928195,0.010745795557273
kitspace_flypi,57.2,146.6,8385.52,2,38,172,0.002265810587775,0.010255774239403
kitspace_flypi_v2,76,85,6460,2,34,125,0.002631578947368,0.009674922600619
kitspace_gas_sensor,45.5,32.5,1478.75,2,7,30,0.002366863905325,0.010143702451395
kitspace_glasgow,88,57,5016,4,226,1118,0.011263955342903,0.055721690590112
kitspace_grove_adaptor,14.5,12.5,181.25,2,4,8,0.011034482758621,0.022068965517241
kitspace_hack,36.83,19.05,701.611500000001,2,39,165,0.027793159034594,0.117586442069436
kitspace_hbridge_driver,71,45.5,3230.5,2,17,78,0.002631171645256,0.012072434607646
kitspace_hp_led_switch,45.5,71,3230.5,2,18,62,0.002785946447918,0.009596037765052
kitspace_hum_temp_sensor,48.5,27.5,1333.75,2,4,14,0.001499531396439,0.005248359887535
kitspace_ideal_diode,40,25,1000,2,10,88,0.005,0.044
kitspace_ir_sensor,32,100,3200,2,4,11,0.000625,0.00171875
kitspace_led_driver,75,50,3750,2,14,66,0.001866666666667,0.0088
kitspace_level_shifter,45.5,48.5,2206.75,2,11,48,0.002492353007817,0.010875722215928
kitspace_lpa96,143,74,10582,4,132,473,0.003118503118503,0.011174636174636
kitspace_mppt-1210-hus,94,89,8366,2,79,447,0.004721491752331,0.026715276117619
kitspace_neotron-32,166.9,143.51,23951.819,4,117,410,0.001221201613122,0.004279424456239
kitspace_nunchuk_breakout,43,22,946,2,6,30,0.003171247357294,0.015856236786469
kitspace_peltier,71,45.5,3230.5,2,18,85,0.002785946447918,0.013155858226281
kitspace_pmt_combiner,80,64.5,5160,2,11,46,0.001065891472868,0.004457364341085
kitspace_postcard,110,110,12100,2,11,48,0.000454545454545,0.00198347107438
kitspace_push-on-hold-off,22.86,12.7,290.322,2,9,47,0.015500031000062,0.080944606333657
kitspace_sensor,62,65,4030,2,54,244,0.006699751861042,0.030272952853598
kitspace_sop8breakout,20.32,15.24,309.6768,2,8,16,0.012916692500052,0.025833385000103
kitspace_spike_n_hold,63,110.5,6961.5,2,33,123,0.002370178840767,0.00883430295195
kitspace_ss_relay,98,78,7644,2,23,104,0.001504447933019,0.006802721088435
kitspace_stack-light,82,56.5,4633,2,94,400,0.010144614720484,0.043168573278653
kitspace_sympetrum-v2%20FF1.1,106.152971175068,87.4796104255164,9286.22056390601,2,39,185,0.002099885509482,0.009960995365492
kitspace_sympetrum-v2%20NFF1,50,50,2500,2,41,157,0.0082,0.0314
kitspace_sympetrum-v2%20NFF1.1,55,85,4675,2,43,158,0.004598930481283,0.016898395721925
kitspace_teensy-fx,65,105,6825,4,77,274,0.002820512820513,0.01003663003663
kitspace_temp_breakout,45.5,48.5,2206.75,2,3,23,0.000679732638496,0.005211283561799
kitspace_test-jig,108,45,4860,2,72,435,0.007407407407407,0.044753086419753
kitspace_threeboard,64.262,55.372,3558.315464,2,32,151,0.00449650970013,0.02121790514749
kitspace_tomu,13.4601086828131,11.4601086828131,154.254308387514,2,20,63,0.064828010993886,0.20420823463074
kitspace_trans_switch_volt_amp,111.506,85.09,9488.04554,2,17,53,0.000895864165509,0.002792988280703
kitspace_tri_panel_4up_r0.1,37.1733473342957,33.6386000000005,1250.45936163946,4,89,653,0.017793461093233,0.130552023526751
kitspace_tt_nano_HAT_b1,35.56,49.53,1761.2868,2,24,72,0.006813200439588,0.020439601318763
kitspace_tt_nano_HAT_b2,42,67,2814,2,32,88,0.005685856432125,0.015636105188344
kitspace_tt_opt101_module_b1,15.24,22.86,348.3864,2,5,12,0.007175940277806,0.017222256666736
kitspace_ulx3s,93.98,50.8,4774.184,4,287,1118,0.015028746273709,0.058544036006991
kitspace_ulx4m,61.1100060000082,46.0000120000033,2811.06100932065,6,296,1077,0.017549719899269,0.063854893011867
linklayer_contact,36,61.1,2199.6,2,25,111,0.005682851427532,0.025231860338243
moonpunchorg_pcieduino,50.95,30,1528.5,2,41,144,0.013411841674845,0.047105004906771
opendous_Upconverter,96.52,50.8,4903.216,2,58,893,0.005914485513182,0.091062682125364
oskirby_logicbone,105.41,73.66,7764.5006,8,313,1501,0.005038958976962,0.024164464614762
retroreflectors_CONGFLOCK,6.34999999999999,6.35,40.3225,2,5,15,0.062000124000248,0.186000372000744
retroreflectors_FLAMENCOFLOCK,31.75,31.75,1008.0625,2,8,26,0.003968007936016,0.012896025792052
retroreflectors_RUMBAFLOCK,6.34999999999999,6.35,40.3225,2,5,14,0.062000124000248,0.173600347200695
retroreflectors_SALSAFLOCK,30.8,52.8,1626.24,2,22,62,0.006764069264069,0.019062377016923
retroreflectors_TANGOFLOCK,31.75,31.75,1008.0625,2,6,20,0.002976005952012,0.00992001984004
rjw57_cpu-board,104.14,104.14,10845.1396,2,91,396,0.004195427784074,0.018257026401025
tmk_HHKB_controller,141.5,40.6,5744.9,2,63,276,0.0054831241623,0.024021305853888
wiggleport_wiggle-spine,96.52,121.92,11767.7184,2,172,781,0.007308128651345,0.033184002771514
z2amiller_sensorboard,48.9,19.31,944.259,2,16,74,0.008472251786851,0.039184164514185
z2amiller_sensorboard_programmer,26.035,18.415,479.434525,2,9,24,0.009386057460088,0.025029486560235
