PCB names,FreeRouting,,,,PcbRouter,,,,RL-MCTS,,,,Original solution,,,
Apple-M0110-BT_Apple M0110,Yes,4322.7868628373535,1,48.06999999999999,,,,,,,,,,,,
Arduino-Theremin_arduino-theremin-v1,Yes,628.1463765,0,3.81,,,,,,,,,,,,
ArduinoDueClone_ATSAM3X8EA,No,,,,,,,,,,,,,,,
Arduino_Lipo_Storage_Discharger_Lipo_Storage_Discharger,Yes,1026.555089,0,9.19,,,,,,,,,,,,
Aria_Aria,Yes,1565.6291658670452,46,1137.9,,,,,,,,,,,,
Atmel-ICE-Header-Adapter_ice header adapter pcb,Yes,844.8850252040191,4,32.85,,,,,,,,,,,,
Atreus_54percent_rev,No,,,,,,,,,,,,,,,
Avem_Hardware_Avem_demo,Yes,715.6301458,10,61.23,,,,,,,,,,,,
AzizLight_AzizLight,Yes,657.8561799,12,42.46,,,,,,,,,,,,
BB-PWR-3608_BB-PWR-3608_revA,No,,,,,,,,,,,,,,,
BB-PWR-8009_BB-PWR-8009_revA,No,,,,,,,,,,,,,,,
BB-PWR-8113_BB-PWR-8113_revA,No,,,,,,,,,,,,,,,
BGM111-External-Programmer_BGM111_Programmer,No,,,,,,,,,,,,,,,
BITxo_BITxo,Yes,285.4157744,5,6.69,,,,,,,,,,,,
BLDC-controller_BLDC_controller,No,,,,,,,,,,,,,,,
BML-Badges_BML-Badges,Yes,450.2625609,0,1.63,,,,,,,,,,,,
BML-Badges_BML_01,Yes,331.5663136,0,1.22,,,,,,,,,,,,
BMS-bq76940_EvaluationsBoard,Yes,1899.27782,8,122.75,,,,,,,,,,,,
BUF-DiffToSE-ADAU1966_BUF-DiffToSE-ADAU1966,Yes,2283.549241,7,870.46,,,,,,,,,,,,
Baofeng-Interface_BaofengInterface,Yes,259.3193228883333,0,13.559999999999999,,,,,,,,,,,,
Baofeng-Interface_BaofengInterfaceIsolated,No,,,,,,,,,,,,,,,
BeaconBuddy_BeaconBuddy,No,,,,,,,,,,,,,,,
BirdAttractor_BirdAttractor_RevA,Yes,348.7982373,3,3.91,,,,,,,,,,,,
BirdAttractor_BirdAttractor_RevC,Yes,1076.606783,12,75.2,,,,,,,,,,,,
BirthdayCakeKeyboard_10Key,Yes,3927.29006,36,1986.58,,,,,,,,,,,,
Biscay_Blueeye_mcu,Yes,1235.961928,0,44.18,,,,,,,,,,,,
Biscay_Blueeye_sipm,Yes,1978.7673082337158,58,772.19,,,,,,,,,,,,
Biscay_Blueeye_sipm-comp,Yes,1638.099786,20,944.88,,,,,,,,,,,,
Biscay_Blueeye_sipm-fpga,Yes,1363.0820945950438,10,375.46999999999997,,,,,,,,,,,,
Blink-Eras_AVR_ISP_Pogo,Yes,96.9460556,0,0.6,,,,,,,,,,,,
Blink-Eras_Blink Eras,Yes,247.99039570156543,0,4.609999999999999,,,,,,,,,,,,
BlueBerry-Zero_blueberry,Yes,718.0272933190538,6,100.58,,,,,,,,,,,,
Board-RZA1L_BoardRZA1,No,,,,,,,,,,,,,,,
Box0-hv-analog-breakoutboard_breakout,No,,,,,,,,,,,,,,,
BrushlessESC_esc,Yes,1539.307508,35,874.08,,,,,,,,,,,,
Brushless_ESC_Brushless_ESC,Yes,1419.4227818124912,21,357.2,,,,,,,,,,,,
C-BISCUIT_buck-reg-5v,Yes,443.348757,1,20.52,,,,,,,,,,,,
C-BISCUIT_crowbar,Yes,136.374126,1,2.21,,,,,,,,,,,,
CAL430FR_CAL430F,Yes,1107.95768,58,4464.87,,,,,,,,,,,,
CAL430FR_CAL430F_watch,Yes,355.0264926,0,5.44,,,,,,,,,,,,
CANadapter_CANadapter,Yes,588.6226789022181,8,2.63,,,,,,,,,,,,
CATS_PiHat_v2,No,,,,,,,,,,,,,,,
CPU-Power-Supply-Mod_CPU_Power_Supply_Mod,Yes,2019.593434,0,11.78,,,,,,,,,,,,
Camera-Modules_LG-G2-Camera-Shim,No,,,,,,,,,,,,,,,
Camera-Modules_LG-G2-G3-13M-Breakout,Yes,755.869765,11,15.57,,,,,,,,,,,,
CapPCB_CapPcb,Yes,72.18391713,0,0.72,,,,,,,,,,,,
Cherry-Mx-Bitboard_Cherry Mx Bitboard,Yes,68.7644,0,0.31,,,,,,,,,,,,
ChirpHardware_chirp,Yes,769.6965178,13,114.55,,,,,,,,,,,,
Class_D_Amp_class_D_ampl,No,,,,,,,,,,,,,,,
CompactFlashBreakout_CompactFlashBreakout,Yes,453.1235514900065,11,51.46,,,,,,,,,,,,
CoreOne-xCORE200-Original_CoreOne,No,,,,,,,,,,,,,,,
CubeSAT-Reaction-Wheel_Edison_Motor_Servo,Yes,115.7301748,0,0.75,,,,,,,,,,,,
CubeSAT-Reaction-Wheel__autosave-GPIO to motor,Yes,642.3816183353223,2,5.4799999999999995,,,,,,,,,,,,
Curryboard_Curryboard,Yes,1989.639789,37,2306.8,,,,,,,,,,,,
DAC-ADAU1966_DAC-ADAU1966,Yes,3850.823928,22,4020.69,,,,,,,,,,,,
DA_Lamp_attiny44a_servo_i2c,Yes,200.69076517755434,2,3.38,,,,,,,,,,,,
DC25_DC25,Yes,1430.714576,14,45.77,,,,,,,,,,,,
DIYDAC_DIYDAC,Yes,70.41306745,0,0.66,,,,,,,,,,,,
DPS-1200FB_Adapter_Adapter,Yes,800.4836327,0,11.559999999999999,,,,,,,,,,,,
DSKY-alarm-panel-replica_DSKY_alarm,Yes,2577.1979996851665,31,25.95,,,,,,,,,,,,
DSP-ADAU1452_DSP-ADAU1452,No,,,,,,,,,,,,,,,
DaWeather---Project__autosave-CarteDaWeather,Yes,582.578,0,0.61,,,,,,,,,,,,
DasBlinkinput_Das Blinkinput,Yes,608.2665664805825,16,16.34,,,,,,,,,,,,
Dekada_dekada,Yes,378.7696833,0,4.44,,,,,,,,,,,,
Dekada_dekada_1210_example,Yes,382.348416,0,5.61,,,,,,,,,,,,
Dekada_dekada_TopoR_curves,Yes,378.7696833,0,4.42,,,,,,,,,,,,
DerKnopf_digi-pot,No,,,,,,,,,,,,,,,
DerKnopf_led-ring,No,,,,,,,,,,,,,,,
DerKnopf_power-supply,Yes,192.7217497,0,1.46,,,,,,,,,,,,
DerKnopf_remote-control,Yes,121.4808692,0,1.09,,,,,,,,,,,,
DiscoDanceFloorV1_BusTerminator,Yes,98.21526576,0,1.84,,,,,,,,,,,,
DiscoDanceFloorV1_DiscoDongle,Yes,442.6073167,3,58.62,,,,,,,,,,,,
DoroidOscillo-Board_Android_Oscilloscope,No,,,,,,,,,,,,,,,
DronPi_dronPi,No,,,,,,,,,,,,,,,
DualLM317BenchSupply_DualLM317BenchSupply,Yes,1087.839751,0,6.62,,,,,,,,,,,,
DustSensorShield_DustSensorShield,Yes,498.3152233,3,3.19,,,,,,,,,,,,
E202VAR-Natural-Radio-Receiver_e202var-vlf-radio-receiver,Yes,939.9598236,0,5.92,,,,,,,,,,,,
ESCPT_data,Yes,2117.9840900970007,21,456.83,,,,,,,,,,,,
ESP-12-breakout_ESP12E-breakout,Yes,382.9447953,1,13.22,,,,,,,,,,,,
ESP-Breakout_ESP-Breakout,Yes,371.2973003,13,9.04,,,,,,,,,,,,
ESP07-Breakout_ESP07-Breakout,Yes,796.1554289,1,32.29,,,,,,,,,,,,
ESP32-Module-Breakout_ESP32S-breakout,Yes,758.1542509,17,17.04,,,,,,,,,,,,
ESP32-board_esp32_board,No,,,,,,,,,,,,,,,
ESP8266-MQTT-battery-monitor-hw_battery-monitor,Yes,650.7552746,13,30.13,,,,,,,,,,,,
ESP8266-WS2811-LEDs_ws2811controller_panels,Yes,163.4261525,2,3.92,,,,,,,,,,,,
ESPLux_Board,Yes,828.3721140206017,3,46.53,,,,,,,,,,,,
ESP_BaPoTeSta_ESP_BaPoTeSta,Yes,791.3702617,12,63.49,,,,,,,,,,,,
ESP_WiFiSwitch_WifiSwitch,Yes,354.3375981975093,0,3.31,,,,,,,,,,,,
ESP_nRF_Relay_Relay_WiFi_nRF24,Yes,719.52,1,7.85,,,,,,,,,,,,
ESPglobe_ESPglobe,No,,,,,,,,,,,,,,,
ESPkit-01_espkit-01,No,,,,,,,,,,,,,,,
ESProto-One_ESProto,Yes,510.7303376,0,3.25,,,,,,,,,,,,
EUC-VESC_electronics_BJT,No,,,,,,,,,,,,,,,
EUC-VESC_electronics_sept,No,,,,,,,,,,,,,,,
Eggbot-Spherebot-polargraph-Controller_eggbot-spherebot-polargraph-controller,Yes,1237.698448,3,14.31,,,,,,,,,,,,
Electronics-MainBoard_MainBoard,Yes,2916.280314,17,513.97,,,,,,,,,,,,
ElectronutLabs-ZeroDriver__autosave-zeroDriver,Yes,1080.5550539458059,35,1410.5800000000002,,,,,,,,,,,,
EncoderBoard_Enc_Pan_Led,No,,,,,,,,,,,,,,,
ErgodoneWithHole_ErgoDone,No,,,,,,,,,,,,,,,
EtherCAT_shield_v1_EtherCAT_shield_v1,No,,,,,,,,,,,,,,,
FMCW_RADAR_Radar MCU,Yes,1314.0644326011802,53,1747.46,,,,,,,,,,,,
FMCW_RADAR_Radar RF,No,,,,,,,,,,,,,,,
FMCW_RADAR_Radar v2,No,,,,,,,,,,,,,,,
FRM16_Relay_Module_I2C_Controller_relay_controller,Yes,1469.4862804648728,8,22.73,,,,,,,,,,,,
FT231X_breakout_FTDI_FT231XS-U_Breakout,Yes,428.1403553909088,5,10.22,,,,,,,,,,,,
FaradayRF-Hardware_Faraday,Yes,2970.197391,75,7129.39,,,,,,,,,,,,
FireMC_rados,No,,,,,,,,,,,,,,,
FlashProgrammer_flash_programmer,Yes,1493.6415072791572,38,224.57,,,,,,,,,,,,
FogDrive_attiny45,Yes,58.27521582,0,0.5,,,,,,,,,,,,
FogDrive_attiny45_slim,Yes,51.76290797,0,0.45,,,,,,,,,,,,
Fox-1-MPPT_TL1451_MPPT_Flight_Rev1,No,,,,,,,,,,,,,,,
FreeSmartEEG__autosave-AD7779 for Intel Edison umdk,Yes,2549.826731321769,5,668.17,,,,,,,,,,,,
Game-Boy-Zero-DMG-Controller-PCB-KiCad_Game-Boy-Zero-DMG-Controller-PCB,Yes,604.5879299,1,130.56,,,,,,,,,,,,
HACK_hack,No,,,,,,,,,,,,,,,
HES-V2__autosave-hes,Yes,453.223897,0,2.06,,,,,,,,,,,,
HES-V2_hes,Yes,453.223897,0,1.26,,,,,,,,,,,,
HIDIRT-for-STM32F103C8T6-DevBoard_STM32F103C8T6-DEV-BOARD-addon,Yes,421.3417179,0,2.07,,,,,,,,,,,,
HID_PID_controller,Yes,1011.0668322939442,8,124.30000000000001,,,,,,,,,,,,
HW-AC-Emeter_ac-power-monitor,Yes,1128.501,17,41.83,,,,,,,,,,,,
HW-ESP8266_Roomba_ESP8266_Roomba,No,,,,,,,,,,,,,,,
HW-ESP8266_Roomba_ESP8266_Roomba_panel_x_3,No,,,,,,,,,,,,,,,
HY-AI7688H-RevA_HY-AI7688H,Yes,3178.322919,10,3993.71,,,,,,,,,,,,
HamShield09_HamShield09,No,,,,,,,,,,,,,,,
Hangul-Clock_Hangul,Yes,3292.179377,7,982.84,,,,,,,,,,,,
Hardware-done-with-kicad_AVRlearn,Yes,394.113995,0,2.06,,,,,,,,,,,,
Hardware_Playground_BL_PCB_latest,Yes,1800.158634,6,284.44,,,,,,,,,,,,
Hardware_Playground_E3_Pcb_rev0.3,No,,,,,,,,,,,,,,,
Hardware_Playground_NRF52832_Touch_Switch_Power_Supply,Yes,678.9792836973809,5,78.12,,,,,,,,,,,,
Hardware_Playground_Touch_Switch_1ch_PCB,Yes,648.7829257,21,132.51,,,,,,,,,,,,
Hardware_Playground_Touch_Switch_2ch_PCB,Yes,876.1415291849527,29,327.96,,,,,,,,,,,,
Hardware_Playground_buck_led_driver,Yes,85.97549082,2,2.06,,,,,,,,,,,,
Hardware_Playground_esp8266_uno,Yes,1772.1186165573254,20,645.89,,,,,,,,,,,,
Hardware_Playground_esp8266_uno_relay,Yes,580.3032984,0,31.94,,,,,,,,,,,,
Hardware_Playground_heater_actuator_node,No,,,,,,,,,,,,,,,
Hardware_Playground_hy_adapter,Yes,56.71616892817926,3,0.47,,,,,,,,,,,,
Hardware_Playground_led_strip_actuator_node,Yes,794.7570819146915,18,846.98,,,,,,,,,,,,
Hardware_Playground_leds_array,Yes,1135.602552,0,22.51,,,,,,,,,,,,
Hardware_Playground_livolo_1_channel_1way_eu_switch,Yes,556.9486156,10,22.69,,,,,,,,,,,,
Hardware_Playground_livolo_2_channels_1way_eu_switch,No,,,,,,,,,,,,,,,
Hardware_Playground_lm317_adj_supply,Yes,773.1712189,0,3.02,,,,,,,,,,,,
Hardware_Playground_minimal_node_rfm69w,Yes,620.119,24,59.1,,,,,,,,,,,,
Hardware_Playground_multisensor_cr123,No,,,,,,,,,,,,,,,
Hardware_Playground_multisensor_cr2032,No,,,,,,,,,,,,,,,
Hardware_Playground_nrf52832_coin,No,,,,,,,,,,,,,,,
Hardware_Playground_nrf52832_uno,Yes,1647.720625,19,420.39,,,,,,,,,,,,
Hardware_Playground_nrf5x_coin,No,,,,,,,,,,,,,,,
Hardware_Playground_orange_pi_zero_node,Yes,824.6263473,0,79.53,,,,,,,,,,,,
Hardware_Playground_pro_mini,Yes,531.7249971,0,40.36,,,,,,,,,,,,
Hardware_Playground_rfm69w_adapter,No,,,,,,,,,,,,,,,
Hardware_Playground_rpi_zero,Yes,848.5355852409939,1,1060.18,,,,,,,,,,,,
Hardware_Playground_rpi_zero_ws2812,Yes,299.6714038,0,3.97,,,,,,,,,,,,
Hardware_Playground_samd51_micropython,No,,,,,,,,,,,,,,,
Hardware_Playground_sd_wav_pcm5100,No,,,,,,,,,,,,,,,
Hardware_Playground_serial_gw_ATMEGA328P,No,,,,,,,,,,,,,,,
Hardware_Playground_serial_gw_ATSAMD21E,No,,,,,,,,,,,,,,,
Hardware_Playground_serial_gw_maple_mini,No,,,,,,,,,,,,,,,
Hardware_Playground_usb_shield,Yes,695.9853022,0,151.97,,,,,,,,,,,,
Hardware_Playground_wifi_lights,Yes,620.3855852,2,7.06,,,,,,,,,,,,
Hardware_Playground_ws281x_led_strip_controller,Yes,752.4367849413838,18,438.15999999999997,,,,,,,,,,,,
HaveSome_PCB_HaveSomePCB,Yes,79.11409813,1,3.03,,,,,,,,,,,,
Helium_helium_1-6,No,,,,,,,,,,,,,,,
HellScribe_HellScribe,Yes,1487.102578,18,64.74,,,,,,,,,,,,
HiFiAudioCodecModule_HiFiAudioCodecModule,Yes,347.69757131082764,4,20.47,,,,,,,,,,,,
HillhacksLantern_LEDLantern,Yes,420.116103,0,3.16,,,,,,,,,,,,
Hornbill-ESP32-DEV_Hornbill Devboard,Yes,1089.0649910788543,45,578.1800000000001,,,,,,,,,,,,
Hornbill-ESP32-Minima_Beacon32,No,,,,,,,,,,,,,,,
Horticulture_Light_EQ_3-Band_3 channel led driver rev0.4,Yes,1331.0963674382992,20,2038.2900000000002,,,,,,,,,,,,
Horticulture_Light_EQ_3-Band_light,No,,,,,,,,,,,,,,,
Hypfer-RGB-W-LED-Controller_led_strip_controller,Yes,1132.105715,2,7.5,,,,,,,,,,,,
I2CTempsensor_sensors,Yes,139.2291358,0,0.88,,,,,,,,,,,,
ID-FIX_scanConnect,Yes,50.38148403,0,0.45,,,,,,,,,,,,
IGN01A_IGN01A,Yes,692.3739167601177,1,24.21,,,,,,,,,,,,
IR-Transponder-ATTiny85-v2_Transponder_v2,Yes,135.9246517,0,3.01,,,,,,,,,,,,
ISO-port_ch340-usb-serial-isolated,Yes,694.2854095226777,3,44.89,,,,,,,,,,,,
Inhibition_amplifier,Yes,2365.057721,1,77.44,,,,,,,,,,,,
Inhibition_amplifier.kicad_pcb-CNC version (with some problems),No,,,,,,,,,,,,,,,
Inkjet_InkjetBreakout,Yes,262.9934603,3,2.27,,,,,,,,,,,,
Inkjet_InkjetDriver,Yes,1164.066885,18,39.87,,,,,,,,,,,,
Inkjet_PiezoDriver,No,,,,,,,,,,,,,,,
Inkjet__autosave-InkjetDriver,Yes,1164.066885,18,42.66,,,,,,,,,,,,
JLink-SWD_JLink-SWD,Yes,312.5171629,2,8.47,,,,,,,,,,,,
JavierIH_kameshield,Yes,232.2542,0,2.404,No,,,,No,,,,Yes,299.4406,0,N/A
KOS01_IdealDiode20A_ideal_diode,Yes,222.3999511,1,7.54,,,,,,,,,,,,
Kefersender_UKW TX,No,,,,,,,,,,,,,,,
Keyboard_PCB_Keyboard,Yes,11938.151512851506,42,2963.0299999999997,,,,,,,,,,,,
Keyboard_tenkey,No,,,,,,,,,,,,,,,
KiCad-LTC6802-2_main,Yes,442.8895183,0,2.09,,,,,,,,,,,,
KiCad-Library_Teensy_test_layout,No,,,,,,,,,,,,,,,
KiCad-Like-a-Pro-Tutorial_proj2-sevensegment,No,,,,,,,,,,,,,,,
KiCad-Like-a-Pro-Tutorial_rf24-breakout-v1,Yes,182.0516391,0,1.14,,,,,,,,,,,,
KiwiSDR_PCB_ant,No,,,,,,,,,,,,,,,
KiwiSDR_PCB_kiwi,No,,,,,,,,,,,,,,,
KosselHotendBoard_KosselHotendPCB,Yes,201.1059941,0,1.15,,,,,,,,,,,,
L6235-PCB_L6235,Yes,685.1926251,0,3.24,,,,,,,,,,,,
LAUNCHXL-F28027-isolation-PCB_project1,Yes,180.0341403,0,2.04,,,,,,,,,,,,
LED-Square_PT4115_LED-Square_PT4115,Yes,415.5431446,2,16.24,,,,,,,,,,,,
LED-grid-8x8_LED grid 8x8,Yes,815.1582106026354,0,2.67,,,,,,,,,,,,
LED-strip_PWM_LED-strip_PWM,Yes,201.2196074,4,10.54,,,,,,,,,,,,
LED_Clock_AM_led_clock,Yes,2430.081021225314,26,718.79,,,,,,,,,,,,
LED_port-status_LED_port-status,No,,,,,,,,,,,,,,,
LED_port-status_LED_port-status-CA,Yes,89.64983324,8,3.85,,,,,,,,,,,,
LED_port-status_LED_port-status-CA-CC-combo,Yes,96.46777047,8,2.63,,,,,,,,,,,,
LMS6002-Pmod_LMS6002-Pmod,Yes,2235.0983380852804,41,1612.6499999999999,,,,,,,,,,,,
LPC2148_Stick_LPC2148_stick,No,,,,,,,,,,,,,,,
LPC2148_Stick__autosave-LPC2148_stick,Yes,4377.198612956837,57,4827.429999999999,,,,,,,,,,,,
LSU_4-9_O2_Sensor_Controller_LO2SC,Yes,721.5543002,20,98.4,,,,,,,,,,,,
LT3652EvalBoard_LT3652EvalBoard,Yes,623.571,0,10.49,,,,,,,,,,,,
LVDS2TMDS_LVDS2TMDS,Yes,356.6519798694337,10,3.76,,,,,,,,,,,,
LadyBugShield_LBS-TEST1,Yes,412.05257,2,10.68,,,,,,,,,,,,
LadyBugShield_LadyBugShield,No,,,,,,,,,,,,,,,
LadybugLiteBlue_HW_LadybugBlueLite,Yes,1036.3521820557833,13,195.2,,,,,,,,,,,,
LargeWordClock_LargeKickstarter,No,,,,,,,,,,,,,,,
LaundryMeasure_ac-ac,Yes,46.98565741,0,0.32,,,,,,,,,,,,
LeeChee_1800,No,,,,,,,,,,,,,,,
LiFePO4-Charge-Controller_LiFePO4-Charge-Controller,Yes,845.7168767,0,25.04,,,,,,,,,,,,
LiPoSensor_lipo_sensor,Yes,483.28805561633243,15,41.92,,,,,,,,,,,,
LibreSolar_MPPT_charger_20A,No,,,,No,,,,No,,,,Yes,3983.277,408,N/A
Librecalc-Hardware__autosave-calculator,No,,,,,,,,,,,,,,,
LimitSwitchesPlugin_LimitSwitchesPlugin,Yes,703.605,2,22.87,,,,,,,,,,,,
LizardBoard_lizard,Yes,240.7394,4,7.98,,,,,,,,,,,,
LoLin_Designs_LoLin,Yes,219.1748662,0,0.93,,,,,,,,,,,,
LoRaCatKitty_NodeLoRaGroveKitty,No,,,,,,,,,,,,,,,
LoRaCatTrack_GPSLoRa,Yes,1276.718267,5,38.9,,,,,,,,,,,,
LoRaPP_loramod,Yes,691.9062529,16,217.01,,,,,,,,,,,,
LoRaWAN_GPS_MINI-ULTRA-PRO,Yes,1324.735066,55,1462.97,,,,,,,,,,,,
LoRaWAN_GPS_lorawan_gps,No,,,,,,,,,,,,,,,
LogicBoxen_LogicBoxen,Yes,976.9820387843756,34,72.69,,,,,,,,,,,,
LongPixel_AnalogDriverMini,Yes,367.21975761322614,0,6.82,,,,,,,,,,,,
LoraWAN-Stick_LoraWAN-Stick,Yes,1528.999141917442,33,116.28,,,,,,,,,,,,
LoraWAN-Stick_LoraWAN_Header_Backwards,Yes,1813.9643681901712,28,659.0799999999999,,,,,,,,,,,,
Lys_Lys,No,,,,,,,,,,,,,,,
MAGFest-2017-Swadges_magfest_badges,Yes,1224.8450490377766,11,56.019999999999996,,,,,,,,,,,,
MAPone_MAP_append,Yes,982.1953472674359,0,11.45,,,,,,,,,,,,
MAPone_MAPone,No,,,,,,,,,,,,,,,
MAVRIC_Hardware_ArduinoPracticeBoard,Yes,729.4024368506708,10,22.69,,,,,,,,,,,,
MAVRIC_Hardware_Motherboard,Yes,2127.6865920960577,8,414.13000000000005,,,,,,,,,,,,
MAVRIC_Hardware_SoilBoard,Yes,383.1282172,3,39.56,,,,,,,,,,,,
MAVRIC_Hardware__autosave-Motherboard,Yes,2127.6865920960577,8,379.33000000000004,,,,,,,,,,,,
MAVRIC_Hardware_pcieduino,Yes,1078.1015902032063,25,179.67000000000002,,,,,,,,,,,,
MOD-MPU9150_mod-mpu9150,Yes,224.07824231651193,4,6.5600000000000005,,,,,,,,,,,,
MSGEQ7-Breakout-Board_MSGEQ7_Breakout_Board,Yes,191.8159992,0,1.23,,,,,,,,,,,,
MYS-PMS7003_MYS-PMS7003,Yes,2306.748933265057,23,330.90000000000003,,,,,,,,,,,,
MagSpoofPI_MagSpoofinThePi,Yes,548.1077615,0,5.35,,,,,,,,,,,,
MeArm-Wireless-PCB_MeArmWireless,Yes,1520.886668054689,21,209.20000000000002,,,,,,,,,,,,
Mechaduino-DR_Mechaduino DR 1.01,Yes,1324.968825764318,35,1326.06,,,,,,,,,,,,
MicroMaple_MicroMaple,Yes,1459.463182914067,39,3114.4,,,,,,,,,,,,
Microdox-PCB_Microdox,No,,,,,,,,,,,,,,,
Microdox-PCB_Microdox-LEDs,No,,,,,,,,,,,,,,,
Microdox-PCB_Microdox-topMCU,Yes,2757.925530945715,5,16.62,,,,,,,,,,,,
Microdox-PCB_Print-Microdox,No,,,,,,,,,,,,,,,
Microdox-PCB_pcbbackup,No,,,,,,,,,,,,,,,
Mini-Ultra-8-MHz_RS-MINI-ULTRA-8M,Yes,447.7377924,17,45.96,,,,,,,,,,,,
Minitel_bbb-adapter,Yes,946.734318,3,8.07,,,,,,,,,,,,
Minitel_driver_board,Yes,843.3362929,0,4.41,,,,,,,,,,,,
Minitel_video_output_stage,Yes,631.1598079,0,1.99,,,,,,,,,,,,
MixSID_mixsid,No,,,,,,,,,,,,,,,
MonApollo_analog-board,No,,,,,,,,,,,,,,,
MonApollo_digital-board,No,,,,,,,,,,,,,,,
MoonLander_MoonLander,Yes,797.6062926738778,22,405.03999999999996,,,,,,,,,,,,
MySRaspiGW_MySRaspiGW,Yes,98.779,2,3.92,,,,,,,,,,,,
MySRaspiGW_MySRaspiGW_PA_LNA,Yes,98.26305371058434,2,1.62,,,,,,,,,,,,
MySRaspiGW_MySRaspiGW_PA_LNA_Pimoroni,Yes,102.8992867,2,4.95,,,,,,,,,,,,
MySRaspiGW_MySRaspiGW_Pimoroni,Yes,120.58902988302552,2,0.9,,,,,,,,,,,,
MySensorIRBlaster_IR Blaster,Yes,1062.353363832063,24,84.57,,,,,,,,,,,,
MySensorsNode_LE-BOX-0028,Yes,3237.201390105733,43,978.72,,,,,,,,,,,,
MySensors_SecureKeyfob_MySensors_RNDKeyfob,No,,,,,,,,,,,,,,,
NRC2016_banked_ram,Yes,3795.008682,25,155.54,,,,,,,,,,,,
NRC2016_usb_sio,Yes,1917.586593,11,62.77,,,,,,,,,,,,
NRC2016_z80,Yes,5332.466,13,186.76,,,,,,,,,,,,
NavigationThing_NavigationThing,Yes,795.3561542677537,0,240.62,,,,,,,,,,,,
NavigationThing_NavigationThingBacklight,No,,,,,,,,,,,,,,,
NeoWall_NeoWall,Yes,574.661,0,5.88,,,,,,,,,,,,
