PCB names,FreeRouting,,,,PcbRouter,,,,RL-MCTS,,,,Original solution,,,
AmpOne_dev-AmpOne,Yes,2645.392472,19,841.98,Yes,2697.259814031024,128,2144.0,No,,,,Yes,2909.1094561480227,70,N/A
AnalogThermometer_AnalogThermometer,Yes,199.4560578,0,5.66,Yes,180.2246979354968,8,1.0,No,,,,Yes,198.76825976947737,0,N/A
Apple-M0110-BT_Apple M0110,Yes,4322.7868628373535,1,48.06999999999999,No,,,,No,,,,Yes,4533.029954932707,14,N/A
Arduino-Theremin_arduino-theremin-v1,Yes,628.1463765,0,3.81,Yes,602.6122608010309,5,9.0,No,,,,Yes,698.798246157744,5,N/A
ArduinoDueClone_ATSAM3X8EA,No,,,,No,,,,No,,,,Yes,5071.928852214784,121,N/A
Arduino_Lipo_Storage_Discharger_Lipo_Storage_Discharger,Yes,1026.555089,0,9.19,Yes,929.086932732413,15,15.0,No,,,,Yes,1217.1859901610142,19,N/A
Aria_Aria,Yes,1565.6291658670452,46,1137.9,No,,,,No,,,,Yes,1644.782043609899,62,N/A
Atmel-ICE-Header-Adapter_ice header adapter pcb,Yes,844.8850252040191,4,32.85,No,,,,No,,,,Yes,892.695435161899,8,N/A
Atreus_54percent_rev,No,,,,No,,,,No,,,,Yes,9257.533230486333,70,N/A
Avem_Hardware_Avem_demo,Yes,715.6301458,10,61.23,Yes,636.4152776704991,33,120.0,No,,,,Yes,789.7183840156954,25,N/A
AzizLight_AzizLight,Yes,657.8561799,12,42.46,Yes,599.0431078175079,35,4.0,No,,,,Yes,750.647668169878,7,N/A
BB-PWR-3608_BB-PWR-3608_revA,No,,,,Yes,73.73838976226844,3,0.1,No,,,,Yes,75.38215047933565,3,N/A
BB-PWR-8009_BB-PWR-8009_revA,No,,,,Yes,63.25743649928215,4,0.1,No,,,,Yes,69.07202203820412,2,N/A
BB-PWR-8113_BB-PWR-8113_revA,No,,,,Yes,105.66083932411695,3,2.0,No,,,,Yes,115.27912273269786,0,N/A
BGM111-External-Programmer_BGM111_Programmer,No,,,,Yes,121.2496979457601,3,0.1,No,,,,Yes,160.61894049234786,1,N/A
BITxo_BITxo,Yes,285.4157744,5,6.69,No,,,,No,,,,Yes,329.21550087691713,7,N/A
BLDC-controller_BLDC_controller,No,,,,No,,,,No,,,,Yes,1512.1259413028445,45,N/A
BML-Badges_BML-Badges,Yes,450.2625609,0,1.63,Yes,437.99543473304675,2,4.0,No,,,,Yes,502.3506399130736,0,N/A
BML-Badges_BML_01,Yes,331.5663136,0,1.22,Yes,326.87448465269415,2,2.0,No,,,,Yes,407.6418086804883,0,N/A
BMS-bq76940_EvaluationsBoard,Yes,1899.27782,8,122.75,No,,,,No,,,,Yes,2026.5875230572453,6,N/A
BUF-DiffToSE-ADAU1966_BUF-DiffToSE-ADAU1966,Yes,2283.549241,7,870.46,Yes,1874.1048603807815,67,46.0,No,,,,Yes,2225.783627371655,21,N/A
Baofeng-Interface_BaofengInterface,Yes,259.3193228883333,0,13.559999999999999,Yes,260.90190317128656,0,1.0,No,,,,Yes,274.1974335218488,0,N/A
Baofeng-Interface_BaofengInterfaceIsolated,No,,,,Yes,632.6330262604948,4,3.0,No,,,,Yes,665.1229189332744,0,N/A
BeaconBuddy_BeaconBuddy,No,,,,No,,,,No,,,,Yes,504.51440776539357,8,N/A
BirdAttractor_BirdAttractor_RevA,Yes,348.7982373,3,3.91,No,,,,No,,,,Yes,457.22716216118005,0,N/A
BirdAttractor_BirdAttractor_RevC,Yes,1076.606783,12,75.2,No,,,,No,,,,Yes,1233.6912686477747,34,N/A
BirthdayCakeKeyboard_10Key,Yes,3927.29006,36,1986.58,No,,,,No,,,,Yes,4982.814406583513,82,N/A
Biscay_Blueeye_mcu,Yes,1235.961928,0,44.18,Yes,1083.762778192513,12,6.0,No,,,,Yes,1475.831365044474,4,N/A
Biscay_Blueeye_sipm,Yes,1978.7673082337158,58,772.19,Yes,1692.3594483006643,192,53.0,No,,,,Yes,2162.9405801748912,83,N/A
Biscay_Blueeye_sipm-comp,Yes,1638.099786,20,944.88,Yes,1546.8018460022784,99,290.0,No,,,,Yes,1728.1879682184274,34,N/A
Biscay_Blueeye_sipm-fpga,Yes,1363.0820945950438,10,375.46999999999997,Yes,1358.0407279800193,98,336.0,No,,,,Yes,1536.221776236048,11,N/A
Blink-Eras_AVR_ISP_Pogo,Yes,96.9460556,0,0.6,Yes,97.08183829280486,0,0.1,No,,,,Yes,100.90892203584895,0,N/A
Blink-Eras_Blink Eras,Yes,247.99039570156543,0,4.609999999999999,No,,,,No,,,,Yes,255.80519806856418,0,N/A
BlueBerry-Zero_blueberry,Yes,718.0272933190538,6,100.58,No,,,,No,,,,Yes,697.2796167878548,15,N/A
Board-RZA1L_BoardRZA1,No,,,,No,,,,No,,,,Yes,6171.273138358606,163,N/A
Box0-hv-analog-breakoutboard_breakout,No,,,,No,,,,No,,,,Yes,933.6662062508365,22,N/A
BrushlessESC_esc,Yes,1539.307508,35,874.08,No,,,,No,,,,Yes,1722.5665912674388,61,N/A
Brushless_ESC_Brushless_ESC,Yes,1419.4227818124912,21,357.2,Yes,1140.1394154210914,96,14.0,No,,,,Yes,1424.4980707398504,54,N/A
C-BISCUIT_buck-reg-5v,Yes,443.348757,1,20.52,Yes,357.8405351926022,11,4.0,No,,,,Yes,400.82325408667293,5,N/A
C-BISCUIT_crowbar,Yes,136.374126,1,2.21,No,,,,No,,,,Yes,126.74490573728801,3,N/A
CAL430FR_CAL430F,Yes,1107.95768,58,4464.87,Yes,1485.427328722642,191,70.0,No,,,,Yes,1172.6236235426566,72,N/A
CAL430FR_CAL430F_watch,Yes,355.0264926,0,5.44,Yes,365.62078986699356,5,2.0,No,,,,Yes,377.5794668304523,3,N/A
CANadapter_CANadapter,Yes,588.6226789022181,8,2.63,No,,,,No,,,,Yes,591.8098423282115,11,N/A
CATS_PiHat_v2,No,,,,Yes,1260.980181675043,42,12.0,No,,,,Yes,1704.6929578044917,29,N/A
CPU-Power-Supply-Mod_CPU_Power_Supply_Mod,Yes,2019.593434,0,11.78,No,,,,No,,,,Yes,2838.4533865888543,0,N/A
Camera-Modules_LG-G2-Camera-Shim,No,,,,Yes,199.44984216630112,26,15.0,No,,,,Yes,167.47246809849634,19,N/A
Camera-Modules_LG-G2-G3-13M-Breakout,Yes,755.869765,11,15.57,Yes,740.7852191708329,12,16.0,No,,,,Yes,882.6017985003983,30,N/A
CapPCB_CapPcb,Yes,72.18391713,0,0.72,Yes,93.81418525125989,0,5.0,No,,,,Yes,85.25789333432867,0,N/A
Cherry-Mx-Bitboard_Cherry Mx Bitboard,Yes,68.7644,0,0.31,No,,,,No,,,,Yes,71.40946101792446,0,N/A
ChirpHardware_chirp,Yes,769.6965178,13,114.55,No,,,,No,,,,Yes,839.1168852325095,18,N/A
Class_D_Amp_class_D_ampl,No,,,,Yes,1837.1979683034194,75,714.0,No,,,,Yes,2512.5541381605676,37,N/A
CompactFlashBreakout_CompactFlashBreakout,Yes,453.1235514900065,11,51.46,Yes,404.6130308323477,27,46.0,No,,,,Yes,638.752323674216,11,N/A
CoreOne-xCORE200-Original_CoreOne,No,,,,No,,,,No,,,,Yes,8251.33696809079,234,N/A
CubeSAT-Reaction-Wheel_Edison_Motor_Servo,Yes,115.7301748,0,0.75,Yes,113.15138762161206,0,0.1,No,,,,Yes,119.8967279536536,0,N/A
CubeSAT-Reaction-Wheel__autosave-GPIO to motor,Yes,642.3816183353223,2,5.4799999999999995,No,,,,No,,,,Yes,773.0814012347348,0,N/A
Curryboard_Curryboard,Yes,1989.639789,37,2306.8,No,,,,No,,,,Yes,2239.846592130587,130,N/A
DAC-ADAU1966_DAC-ADAU1966,Yes,3850.823928,22,4020.69,No,,,,No,,,,Yes,4179.775690326679,25,N/A
DA_Lamp_attiny44a_servo_i2c,Yes,200.69076517755434,2,3.38,Yes,168.78901832876443,15,1.0,No,,,,Yes,250.26922909404598,1,N/A
DC25_DC25,Yes,1430.714576,14,45.77,No,,,,No,,,,Yes,1447.9176570598204,23,N/A
DIYDAC_DIYDAC,Yes,70.41306745,0,0.66,Yes,67.38528137423859,0,0.1,No,,,,Yes,68.1426616075297,0,N/A
DPS-1200FB_Adapter_Adapter,Yes,800.4836327,0,11.559999999999999,Yes,797.3687313328419,0,21.0,No,,,,Yes,809.627658525362,0,N/A
DSKY-alarm-panel-replica_DSKY_alarm,Yes,2577.1979996851665,31,25.95,Yes,2205.518306249787,115,116.0,No,,,,Yes,2622.40257897631,32,N/A
DSP-ADAU1452_DSP-ADAU1452,No,,,,No,,,,No,,,,Yes,5208.457661240045,55,N/A
DaWeather---Project__autosave-CarteDaWeather,Yes,582.578,0,0.61,Yes,616.1407913072819,2,6.0,No,,,,Yes,832.0529239727864,0,N/A
DasBlinkinput_Das Blinkinput,Yes,608.2665664805825,16,16.34,No,,,,No,,,,Yes,653.8709038010061,19,N/A
Dekada_dekada,Yes,378.7696833,0,4.44,Yes,370.8636370044146,0,5.0,No,,,,Yes,423.6108853342252,0,N/A
Dekada_dekada_1210_example,Yes,382.348416,0,5.61,Yes,375.48373830998503,0,6.0,No,,,,Yes,385.933063715961,0,N/A
Dekada_dekada_TopoR_curves,Yes,378.7696833,0,4.42,Yes,370.8636370044146,0,5.0,No,,,,Yes,384.024959282978,0,N/A
DerKnopf_digi-pot,No,,,,No,,,,No,,,,Yes,473.8192444671629,13,N/A
DerKnopf_led-ring,No,,,,No,,,,No,,,,Yes,550.2662525737409,36,N/A
DerKnopf_power-supply,Yes,192.7217497,0,1.46,No,,,,No,,,,Yes,188.60328787916296,0,N/A
DerKnopf_remote-control,Yes,121.4808692,0,1.09,No,,,,No,,,,Yes,127.50128771478522,0,N/A
DiscoDanceFloorV1_BusTerminator,Yes,98.21526576,0,1.84,Yes,75.92388725667443,5,0.1,No,,,,Yes,95.0470297925396,1,N/A
DiscoDanceFloorV1_DiscoDongle,Yes,442.6073167,3,58.62,No,,,,No,,,,Yes,465.7998201957265,7,N/A
DoroidOscillo-Board_Android_Oscilloscope,No,,,,No,,,,No,,,,Yes,2031.0060377670272,99,N/A
DronPi_dronPi,No,,,,No,,,,No,,,,Yes,3176.353333340719,117,N/A
DualLM317BenchSupply_DualLM317BenchSupply,Yes,1087.839751,0,6.62,Yes,1068.331816345769,1,19.0,No,,,,Yes,1175.856129814032,0,N/A
DustSensorShield_DustSensorShield,Yes,498.3152233,3,3.19,Yes,480.43915234930193,12,42.0,No,,,,Yes,512.3903453143182,6,N/A
E202VAR-Natural-Radio-Receiver_e202var-vlf-radio-receiver,Yes,939.9598236,0,5.92,No,,,,No,,,,Yes,988.1634370189984,8,N/A
ESCPT_data,Yes,2117.9840900970007,21,456.83,No,,,,No,,,,Yes,2284.9062609715434,65,N/A
ESP-12-breakout_ESP12E-breakout,Yes,382.9447953,1,13.22,No,,,,No,,,,Yes,382.8879651266657,0,N/A
ESP-Breakout_ESP-Breakout,Yes,371.2973003,13,9.04,No,,,,No,,,,Yes,358.3357958091031,20,N/A
ESP07-Breakout_ESP07-Breakout,Yes,796.1554289,1,32.29,No,,,,No,,,,Yes,813.0252593227589,1,N/A
ESP32-Module-Breakout_ESP32S-breakout,Yes,758.1542509,17,17.04,Yes,697.6858658878436,38,11.0,No,,,,Yes,743.524105574624,22,N/A
ESP32-board_esp32_board,No,,,,No,,,,No,,,,Yes,1621.8791233659472,33,N/A
ESP8266-MQTT-battery-monitor-hw_battery-monitor,Yes,650.7552746,13,30.13,Yes,544.8571728312535,38,42.0,No,,,,Yes,648.998984583633,26,N/A
ESP8266-WS2811-LEDs_ws2811controller_panels,Yes,163.4261525,2,3.92,Yes,157.66164491784252,8,1.0,No,,,,Yes,190.3924117123663,2,N/A
ESPLux_Board,Yes,828.3721140206017,3,46.53,No,,,,No,,,,Yes,909.0273287416742,14,N/A
ESP_BaPoTeSta_ESP_BaPoTeSta,Yes,791.3702617,12,63.49,No,,,,No,,,,Yes,806.0729311013552,21,N/A
ESP_WiFiSwitch_WifiSwitch,Yes,354.3375981975093,0,3.31,Yes,296.0903137490658,8,2.0,No,,,,Yes,343.05522409359656,7,N/A
ESP_nRF_Relay_Relay_WiFi_nRF24,Yes,719.52,1,7.85,No,,,,No,,,,Yes,712.3719732542056,28,N/A
ESPglobe_ESPglobe,No,,,,No,,,,No,,,,Yes,574.9989423990468,7,N/A
ESPkit-01_espkit-01,No,,,,No,,,,No,,,,Yes,485.16524198009006,5,N/A
ESProto-One_ESProto,Yes,510.7303376,0,3.25,No,,,,No,,,,Yes,728.2995023049273,0,N/A
EUC-VESC_electronics_BJT,No,,,,No,,,,No,,,,Yes,2833.444132461903,100,N/A
EUC-VESC_electronics_sept,No,,,,No,,,,No,,,,Yes,5145.945209366287,47,N/A
Eggbot-Spherebot-polargraph-Controller_eggbot-spherebot-polargraph-controller,Yes,1237.698448,3,14.31,Yes,1190.7792593278164,20,11.0,No,,,,Yes,1376.698211964311,0,N/A
Electronics-MainBoard_MainBoard,Yes,2916.280314,17,513.97,No,,,,No,,,,Yes,3201.857166890955,35,N/A
ElectronutLabs-ZeroDriver__autosave-zeroDriver,Yes,1080.5550539458059,35,1410.5800000000002,No,,,,No,,,,Yes,1100.9805869729776,60,N/A
EncoderBoard_Enc_Pan_Led,No,,,,No,,,,No,,,,Yes,1001.2558857580592,30,N/A
ErgodoneWithHole_ErgoDone,No,,,,No,,,,No,,,,Yes,5601.523422791351,29,N/A
EtherCAT_shield_v1_EtherCAT_shield_v1,No,,,,No,,,,No,,,,Yes,2737.2595076012,83,N/A
FMCW_RADAR_Radar MCU,Yes,1314.0644326011802,53,1747.46,No,,,,No,,,,Yes,1324.0186118320448,64,N/A
FMCW_RADAR_Radar RF,No,,,,No,,,,No,,,,Yes,1162.4266163211205,59,N/A
FMCW_RADAR_Radar v2,No,,,,No,,,,No,,,,Yes,3096.252408568291,129,N/A
FRM16_Relay_Module_I2C_Controller_relay_controller,Yes,1469.4862804648728,8,22.73,Yes,1390.7844981883138,25,8.0,No,,,,Yes,1455.384523183156,5,N/A
FT231X_breakout_FTDI_FT231XS-U_Breakout,Yes,428.1403553909088,5,10.22,No,,,,No,,,,Yes,410.65661978286346,15,N/A
FaradayRF-Hardware_Faraday,Yes,2970.197391,75,7129.39,No,,,,No,,,,Yes,3470.500369226454,129,N/A
FireMC_rados,No,,,,No,,,,No,,,,Yes,4774.034019236832,36,N/A
FlashProgrammer_flash_programmer,Yes,1493.6415072791572,38,224.57,No,,,,No,,,,Yes,1603.1844647244604,83,N/A
FogDrive_attiny45,Yes,58.27521582,0,0.5,No,,,,No,,,,Yes,66.1365685424949,0,N/A
FogDrive_attiny45_slim,Yes,51.76290797,0,0.45,No,,,,No,,,,Yes,57.166568542494915,0,N/A
Fox-1-MPPT_TL1451_MPPT_Flight_Rev1,No,,,,No,,,,No,,,,Yes,5825.506169169695,293,N/A
FreeSmartEEG__autosave-AD7779 for Intel Edison umdk,Yes,2549.826731321769,5,668.17,No,,,,No,,,,Yes,3998.2566134843755,4,N/A
Game-Boy-Zero-DMG-Controller-PCB-KiCad_Game-Boy-Zero-DMG-Controller-PCB,Yes,604.5879299,1,130.56,No,,,,No,,,,Yes,730.9242124411631,10,N/A
HACK_hack,No,,,,No,,,,No,,,,Yes,661.129202154434,26,N/A
HES-V2__autosave-hes,Yes,453.223897,0,2.06,No,,,,No,,,,Yes,479.37382284664386,0,N/A
HES-V2_hes,Yes,453.223897,0,1.26,No,,,,No,,,,Yes,479.37382284664386,0,N/A
HIDIRT-for-STM32F103C8T6-DevBoard_STM32F103C8T6-DEV-BOARD-addon,Yes,421.3417179,0,2.07,Yes,405.75214804518225,1,6.0,No,,,,Yes,439.33343195079703,0,N/A
HID_PID_controller,Yes,1011.0668322939442,8,124.30000000000001,No,,,,No,,,,Yes,1026.815855328086,15,N/A
HW-AC-Emeter_ac-power-monitor,Yes,1128.501,17,41.83,Yes,1015.53762813079,46,57.0,No,,,,Yes,1187.2400515075226,24,N/A
HW-ESP8266_Roomba_ESP8266_Roomba,No,,,,No,,,,No,,,,Yes,1802.7574825298273,79,N/A
HW-ESP8266_Roomba_ESP8266_Roomba_panel_x_3,No,,,,No,,,,No,,,,Yes,1818.476309491088,77,N/A
HY-AI7688H-RevA_HY-AI7688H,Yes,3178.322919,10,3993.71,No,,,,No,,,,Yes,3451.25250146703,30,N/A
HamShield09_HamShield09,No,,,,No,,,,No,,,,Yes,2400.9413627406516,77,N/A
Hangul-Clock_Hangul,Yes,3292.179377,7,982.84,No,,,,No,,,,Yes,3884.0604802851385,23,N/A
Hardware-done-with-kicad_AVRlearn,Yes,394.113995,0,2.06,Yes,373.5644310234812,6,3.0,No,,,,Yes,381.44348038553414,5,N/A
Hardware_Playground_BL_PCB_latest,Yes,1800.158634,6,284.44,Yes,1718.3030991055878,23,37.0,No,,,,Yes,2034.2212497090122,13,N/A
Hardware_Playground_E3_Pcb_rev0.3,No,,,,No,,,,No,,,,Yes,3762.3091646242683,143,N/A
Hardware_Playground_NRF52832_Touch_Switch_Power_Supply,Yes,678.9792836973809,5,78.12,No,,,,No,,,,Yes,734.1027858795347,43,N/A
Hardware_Playground_Touch_Switch_1ch_PCB,Yes,648.7829257,21,132.51,Yes,685.4594961725558,94,103.0,No,,,,Yes,672.5181754533857,23,N/A
Hardware_Playground_Touch_Switch_2ch_PCB,Yes,876.1415291849527,29,327.96,Yes,747.0159303112785,97,101.0,No,,,,Yes,783.7164491959929,39,N/A
Hardware_Playground_buck_led_driver,Yes,85.97549082,2,2.06,No,,,,No,,,,Yes,90.7124386137347,2,N/A
Hardware_Playground_esp8266_uno,Yes,1772.1186165573254,20,645.89,No,,,,No,,,,Yes,1678.0872288400246,35,N/A
Hardware_Playground_esp8266_uno_relay,Yes,580.3032984,0,31.94,No,,,,No,,,,Yes,742.7024059236315,0,N/A
Hardware_Playground_heater_actuator_node,No,,,,No,,,,No,,,,Yes,2000.0752888311636,23,N/A
Hardware_Playground_hy_adapter,Yes,56.71616892817926,3,0.47,Yes,6.325483399593908,2,0.1,No,,,,Yes,56.37656866566281,3,N/A
Hardware_Playground_led_strip_actuator_node,Yes,794.7570819146915,18,846.98,Yes,842.7826637758226,51,49.0,No,,,,Yes,808.574247767228,22,N/A
Hardware_Playground_leds_array,Yes,1135.602552,0,22.51,Yes,1127.2164102586044,5,27.0,No,,,,Yes,1248.4726419530944,3,N/A
Hardware_Playground_livolo_1_channel_1way_eu_switch,Yes,556.9486156,10,22.69,No,,,,No,,,,Yes,615.113855263437,12,N/A
Hardware_Playground_livolo_2_channels_1way_eu_switch,No,,,,Yes,774.7084505719415,72,11.0,No,,,,Yes,910.5583964311452,52,N/A
Hardware_Playground_lm317_adj_supply,Yes,773.1712189,0,3.02,Yes,759.9811121955535,1,13.0,No,,,,Yes,1370.1476495098843,2,N/A
Hardware_Playground_minimal_node_rfm69w,Yes,620.119,24,59.1,Yes,591.4596640646088,55,7.0,No,,,,Yes,596.6329497680389,30,N/A
Hardware_Playground_multisensor_cr123,No,,,,Yes,835.8435211603326,86,44.0,No,,,,Yes,794.7088612134106,29,N/A
Hardware_Playground_multisensor_cr2032,No,,,,No,,,,No,,,,Yes,849.0649323921803,36,N/A
Hardware_Playground_nrf52832_coin,No,,,,No,,,,No,,,,Yes,140.79352142818905,2,N/A
Hardware_Playground_nrf52832_uno,Yes,1647.720625,19,420.39,Yes,1465.5888740022936,112,34.0,No,,,,Yes,1650.3617844541907,39,N/A
Hardware_Playground_nrf5x_coin,No,,,,No,,,,No,,,,Yes,734.03706120995,47,N/A
Hardware_Playground_orange_pi_zero_node,Yes,824.6263473,0,79.53,Yes,813.4205851000474,8,5.0,No,,,,Yes,841.8532600549936,1,N/A
Hardware_Playground_pro_mini,Yes,531.7249971,0,40.36,Yes,539.2328943725088,30,14.0,No,,,,Yes,485.089537530801,7,N/A
Hardware_Playground_rfm69w_adapter,No,,,,No,,,,No,,,,Yes,390.57463028257683,25,N/A
Hardware_Playground_rpi_zero,Yes,848.5355852409939,1,1060.18,Yes,792.8924489678441,10,7.0,No,,,,Yes,831.0578540464345,5,N/A
Hardware_Playground_rpi_zero_ws2812,Yes,299.6714038,0,3.97,Yes,289.7841832749075,4,2.0,No,,,,Yes,383.1364982535739,15,N/A
Hardware_Playground_samd51_micropython,No,,,,Yes,584.6777267958147,77,24.0,No,,,,Yes,591.621033242314,26,N/A
Hardware_Playground_sd_wav_pcm5100,No,,,,Yes,1235.9607767422528,105,239.0,No,,,,Yes,1183.4330042996976,23,N/A
Hardware_Playground_serial_gw_ATMEGA328P,No,,,,No,,,,No,,,,Yes,712.2109924781399,26,N/A
Hardware_Playground_serial_gw_ATSAMD21E,No,,,,No,,,,No,,,,Yes,674.3852267638845,32,N/A
Hardware_Playground_serial_gw_maple_mini,No,,,,Yes,850.9244665528952,7,10.0,No,,,,Yes,954.6278649472198,1,N/A
Hardware_Playground_usb_shield,Yes,695.9853022,0,151.97,No,,,,No,,,,Yes,695.3531918520733,4,N/A
Hardware_Playground_wifi_lights,Yes,620.3855852,2,7.06,No,,,,No,,,,Yes,630.0685452231473,7,N/A
Hardware_Playground_ws281x_led_strip_controller,Yes,752.4367849413838,18,438.15999999999997,Yes,780.8286593323462,65,17.0,No,,,,Yes,748.1652823595823,27,N/A
HaveSome_PCB_HaveSomePCB,Yes,79.11409813,1,3.03,Yes,87.75807858037439,2,0.1,No,,,,Yes,82.7954878903873,1,N/A
Helium_helium_1-6,No,,,,No,,,,No,,,,Yes,2337.6160859310835,79,N/A
HellScribe_HellScribe,Yes,1487.102578,18,64.74,Yes,1447.4802089873758,45,23.0,No,,,,Yes,1642.4756006523594,73,N/A
HiFiAudioCodecModule_HiFiAudioCodecModule,Yes,347.69757131082764,4,20.47,No,,,,No,,,,Yes,343.31893088674764,8,N/A
HillhacksLantern_LEDLantern,Yes,420.116103,0,3.16,Yes,394.57021090287935,2,3.0,No,,,,Yes,432.15037013169217,1,N/A
Hornbill-ESP32-DEV_Hornbill Devboard,Yes,1089.0649910788543,45,578.1800000000001,No,,,,No,,,,Yes,1185.4146838064416,69,N/A
Hornbill-ESP32-Minima_Beacon32,No,,,,No,,,,No,,,,Yes,685.7372069193821,37,N/A
Horticulture_Light_EQ_3-Band_3 channel led driver rev0.4,Yes,1331.0963674382992,20,2038.2900000000002,No,,,,No,,,,Yes,1404.8960686197652,14,N/A
Horticulture_Light_EQ_3-Band_light,No,,,,No,,,,No,,,,Yes,4831.761966126986,48,N/A
Hypfer-RGB-W-LED-Controller_led_strip_controller,Yes,1132.105715,2,7.5,Yes,1094.8841641472159,11,19.0,No,,,,Yes,1304.9047154063303,3,N/A
I2CTempsensor_sensors,Yes,139.2291358,0,0.88,Yes,131.80961346990267,2,1.0,No,,,,Yes,140.70768710462337,1,N/A
